Title,Column 1,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 2,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 3,Column 30,Column 31,Column 32,Column 33,Column 34,Column 35,Column 36,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9
,Россия (% ВВП),Япония (% занятых),Индия (% ВВП),Индия (% занятых),Англия (% ВВП),Англия (% занятых),Турция (% ВВП),Турция (% занятых),Египет (% ВВП),Египет (% занятых),Иран (% ВВП),Россия (% занятых),Иран (% занятых),Израиль (% ВВП),Израиль (% занятых),ОАЭ (% ВВП),ОАЭ (% занятых),Бразилия (% ВВП),Бразилия (% занятых),Аргентина (% ВВП),Аргентина (% занятых),Индонезия (% ВВП),США (% ВВП),Индонезия (% занятых),Вьетнам (% ВВП),Вьетнам (% занятых),Канада (% ВВП),Канада (% занятых),Африка (% ВВП),Африка (% занятых),США (% занятых),Китай (% ВВП),Китай (% занятых),ЕС (% ВВП),ЕС (% занятых),Япония (% ВВП)
Сельское хозяйство,5.6,3.5,17.7,41.5,0.8,1.0,6,17.5,11,21.0,9,4.6,17.0,2,1.5,1.5,2.5,5,9.0,6,6.5,13,0.9,33.0,15,37.0,1.5,1.5,20,48.0,1.5,6.8,22.2,1.6,4.5,1.0
Торговля,10.0,10.0,10.0,10.0,13.0,13.0,12,12.0,10,10.0,9,23.1,10.0,10,10.0,15.0,15.0,13,16.0,12,15.0,10,12.0,12.0,9,10.0,12.0,14.0,10,7.0,13.9,8.0,8.0,12.0,12.0,11.0
Транспорт и логистика,5.0,4.0,4.0,3.0,6.0,6.0,4,4.0,4,3.5,3,7.5,4.0,4,4.0,5.0,5.0,5,4.0,4,4.0,4,5.0,4.0,4,3.0,5.0,5.0,4,2.0,3.2,4.0,3.0,5.0,5.0,5.0
Промышленность и строительство,26.6,24.0,27.6,26.2,20.0,20.0,30,27.0,25,25.0,35,22.1,35.0,20,22.0,30.0,30.0,22,20.0,24,24.0,30,19.1,22.0,32,26.0,28.0,28.2,25,17.0,12.2,36.5,28.9,23.3,24.0,26.9
Госуправление и безопасность,4.0,5.0,4.0,2.5,5.0,6.0,4,4.0,4,4.0,4,5.5,5.0,5,5.0,4.0,4.0,4,4.0,4,5.0,4,6.0,4.0,3,4.0,5.0,6.0,3,3.0,14.5,4.0,5.0,5.0,6.0,4.0
Финансы и страхование,4.0,6.0,3.0,2.5,7.0,7.0,4,3.0,3,2.5,2,3.8,3.0,7,7.0,6.0,5.5,4,5.0,4,4.5,3,7.0,3.0,2,2.5,6.0,6.0,2,2.0,5.3,3.0,2.0,6.0,5.5,6.0
IT и информация,2.0,3.0,2.0,1.5,5.0,4.0,2,1.5,1,1.0,1,4.7,1.5,10,8.0,4.0,3.5,2,2.0,2,2.0,1,6.0,1.5,1,1.0,4.0,3.0,1,1.0,3.1,2.0,1.0,4.0,2.5,4.0
Прочие услуги,33.8,25.5,19.7,3.3,26.2,23.0,28,19.0,35,21.5,30,11.2,12.5,29,24.5,26.5,24.0,34,26.0,33,22.5,28,23.0,9.5,27,5.0,22.5,17.3,28,12.0,21.5,26.7,18.9,26.6,21.0,25.1
"Гостиницы, общепит, отдых",2.0,5.0,3.0,2.5,4.0,6.5,3,3.5,2,3.0,2,3.0,3.5,3,5.0,3.0,3.0,3,4.0,3,5.0,2,5.0,3.5,2,3.0,4.0,5.5,2,2.0,10.0,3.0,4.0,4.0,6.0,4.0
Здравоохранение и соцуслуги,4.0,7.0,5.0,3.5,8.0,7.0,4,4.0,3,4.0,3,7.2,4.0,6,7.0,3.0,4.0,5,5.0,5,6.0,3,10.0,4.0,3,4.5,7.0,7.0,3,3.0,12.2,3.0,4.0,7.0,7.0,8.0
Образование,3.0,7.0,4.0,3.5,5.0,6.5,3,4.5,2,4.5,2,7.3,4.5,4,6.0,2.0,3.5,3,5.0,3,5.5,2,5.0,3.5,2,4.0,5.0,6.5,2,3.0,2.6,3.0,4.0,5.0,6.5,5.0